Tip;secao;Data;Loja;Valores
FATURAMENTO;PAPELARIA;31/01/2016;GERAL;64289,89
FATURAMENTO;PEIXES RESFRIADOS;31/01/2016;GERAL;431697,5
FATURAMENTO;PET SHOP;31/01/2016;GERAL;39496,56
FATURAMENTO;UTILIDADES DOMESTICA;31/01/2016;GERAL;462779,22
FATURAMENTO;VESTUARIO;31/01/2016;GERAL;101089,87
FATURAMENTO;GERAL;31/01/2016;GERAL;25667282,97
PERDA;AÇOUGUE;31/01/2016;CENTRO;-5670,44
PERDA;ALHO;31/01/2016;CENTRO;-1738,65
PERDA;ALIMENTOS DOCE;31/01/2016;CENTRO;-637,78
PERDA;ALIMENTOS SALGADO;31/01/2016;CENTRO;-881,45
PERDA;AUTOS;31/01/2016;CENTRO;-37,91
PERDA;BASICO;31/01/2016;CENTRO;-523,5
PERDA;BEBIDAS DEST E VINHO;31/01/2016;CENTRO;-96,49
PERDA;BEBIDAS REFRIGERADAS;31/01/2016;CENTRO;-199,25
PERDA;FRIOS;31/01/2016;CENTRO;-100,25
PERDA;FRIOS ACHOCOLATADOS;31/01/2016;CENTRO;-3,9
PERDA;FRIOS CONGELADOS;31/01/2016;CENTRO;-935,34
PERDA;FRIOS LATICINIOS;31/01/2016;CENTRO;-40,5
PERDA;HIGIENE;31/01/2016;CENTRO;-180,72
PERDA;HORT FRUT;31/01/2016;CENTRO;-55931,72
PERDA;LEITE;31/01/2016;CENTRO;0
PERDA;LIMPEZA DOMESTICA;31/01/2016;CENTRO;-22,44
PERDA;OVOS;31/01/2016;CENTRO;-136,59
PERDA;PADARIA INDUSTRIAL;31/01/2016;CENTRO;-11,77
PERDA;PADARIA PROPRIA;31/01/2016;CENTRO;-4956,41
PERDA;PAPEL HIGIENICO;31/01/2016;CENTRO;0
PERDA;PAPELARIA;31/01/2016;CENTRO;-107,8
PERDA;PEIXES RESFRIADOS;31/01/2016;CENTRO;-1775,44
PERDA;PET SHOP;31/01/2016;CENTRO;0
PERDA;UTILIDADES DOMESTICA;31/01/2016;CENTRO;-211,03
PERDA;VESTUARIO;31/01/2016;CENTRO;0
PERDA;GERAL;31/01/2016;CENTRO;-74199,38
PERDA;AÇOUGUE;31/01/2016;GARAVELO;-10515,7
PERDA;ALHO;31/01/2016;GARAVELO;-279,79
PERDA;ALIMENTOS DOCE;31/01/2016;GARAVELO;-1351,58
PERDA;ALIMENTOS SALGADO;31/01/2016;GARAVELO;-369,39
PERDA;AUTOS;31/01/2016;GARAVELO;0
PERDA;BASICO;31/01/2016;GARAVELO;-853,67
PERDA;BEBIDAS DEST E VINHO;31/01/2016;GARAVELO;-16,22
PERDA;BEBIDAS REFRIGERADAS;31/01/2016;GARAVELO;-385,02
PERDA;FRIOS;31/01/2016;GARAVELO;-139,08
PERDA;FRIOS ACHOCOLATADOS;31/01/2016;GARAVELO;-2,23
PERDA;FRIOS CONGELADOS;31/01/2016;GARAVELO;-260,63
PERDA;FRIOS LATICINIOS;31/01/2016;GARAVELO;-36
PERDA;HIGIENE;31/01/2016;GARAVELO;-634,14
PERDA;HORT FRUT;31/01/2016;GARAVELO;-55744,9
PERDA;LEITE;31/01/2016;GARAVELO;0
PERDA;LIMPEZA DOMESTICA;31/01/2016;GARAVELO;-42,75
PERDA;OVOS;31/01/2016;GARAVELO;-702,04
PERDA;PADARIA INDUSTRIAL;31/01/2016;GARAVELO;-11,78
PERDA;PADARIA PROPRIA;31/01/2016;GARAVELO;-3633,85
PERDA;PAPEL HIGIENICO;31/01/2016;GARAVELO;0
PERDA;PAPELARIA;31/01/2016;GARAVELO;-62,88
PERDA;PEIXES RESFRIADOS;31/01/2016;GARAVELO;-496,3
PERDA;PET SHOP;31/01/2016;GARAVELO;0
PERDA;UTILIDADES DOMESTICA;31/01/2016;GARAVELO;-98,74
PERDA;VESTUARIO;31/01/2016;GARAVELO;-7,54
PERDA;GERAL;31/01/2016;GARAVELO;-75644,23
PERDA;AÇOUGUE;31/01/2016;T7;-7080,42
PERDA;ALHO;31/01/2016;T7;0
PERDA;ALIMENTOS DOCE;31/01/2016;T7;-914,98
PERDA;ALIMENTOS SALGADO;31/01/2016;T7;-284,18
PERDA;AUTOS;31/01/2016;T7;-512,54
PERDA;BASICO;31/01/2016;T7;-270,9
PERDA;BEBIDAS DEST E VINHO;31/01/2016;T7;-51,33
PERDA;BEBIDAS REFRIGERADAS;31/01/2016;T7;-126,08
PERDA;FRIOS;31/01/2016;T7;0
PERDA;FRIOS ACHOCOLATADOS;31/01/2016;T7;-0,81
PERDA;FRIOS CONGELADOS;31/01/2016;T7;-489,59
PERDA;FRIOS LATICINIOS;31/01/2016;T7;-5,03
PERDA;HIGIENE;31/01/2016;T7;-242,1
PERDA;HORT FRUT;31/01/2016;T7;-43947,85
PERDA;LEITE;31/01/2016;T7;0
PERDA;LIMPEZA DOMESTICA;31/01/2016;T7;-31,73
PERDA;OVOS;31/01/2016;T7;-1274,04
PERDA;PADARIA INDUSTRIAL;31/01/2016;T7;0
PERDA;PADARIA PROPRIA;31/01/2016;T7;-2339,53
PERDA;PAPEL HIGIENICO;31/01/2016;T7;0
PERDA;PAPELARIA;31/01/2016;T7;-259,32
PERDA;PEIXES RESFRIADOS;31/01/2016;T7;0
PERDA;PET SHOP;31/01/2016;T7;-65,6
PERDA;UTILIDADES DOMESTICA;31/01/2016;T7;-48,64
PERDA;VESTUARIO;31/01/2016;T7;-19,9
PERDA;GERAL;31/01/2016;T7;-57964,57
PERDA;AÇOUGUE;31/01/2016;CAMPINAS;
PERDA;ALHO;31/01/2016;CAMPINAS;
PERDA;ALIMENTOS DOCE;31/01/2016;CAMPINAS;
PERDA;ALIMENTOS SALGADO;31/01/2016;CAMPINAS;
PERDA;AUTOS;31/01/2016;CAMPINAS;
PERDA;BASICO;31/01/2016;CAMPINAS;
